place,lng,lat
Alice Tully Hall,-73.9825787,40.773503
Metropolitan Life Insurance Tower,-73.98764999999997,40.74108000000007
"Sadigh Gallery Ancient Art, Inc",-73.98568201530058,40.746590011169474
Rockefeller Plaza Manhattan New York City,-73.97785999999996,40.758500000000026
Delacorte Clock,-73.9711748,40.7681147
Jean Dubuffet - Group of Four Trees,-74.00713999999994,40.71455000000003
The Drawing Center,-74.00289198732156,40.7224462
Cunard Building,-74.01398285830851,40.705754150000004
Center for Jewish History,-73.9937182,40.7375904
Marilyn Monroe's subway grate,-73.9714498789848,40.757750054242905
Hudson Street,-74.0062792,40.733743
Church of Saint Agnes,-73.97444699610325,40.75189898291225
The Episcopal Church of The Heavenly Rest,-73.95786901654576,40.78368999100462
Harlem Meer,-73.94480999999996,40.79137500000007
Dyckman Farmhouse Museum,-73.92282999999998,40.86733000000004
Holy Trinity Greek Orthodox Cathedral,-73.95611200200213,40.7696800170325
Our Lady of Pompeii,-74.00278595928232,40.730349989948024
Double Check,-74.0106058,40.7093166
4 World Trade Center,-74.01196856508565,40.710318650000005
Second Avenue Subway,-73.95551507936203,40.772700128488914
Highbridge Park,-73.93566988126173,40.841560033541896
St. Mark's-in-the-Bowery Church,-73.98711244102458,40.73030955
St. Luke's Theatre,-73.98875800612791,40.76000998297707
Katharine Hepburn Garden,-73.96915768376584,40.7523315
Marble Collegiate Church,-73.98715312760582,40.745678
Rockaways,-73.81440796601326,40.58698000879352
Judd Foundation,-73.9994499618185,40.72343001641494
Playwrights Horizons,-73.99367999999998,40.75857000000008
The Appel Room,-73.98263896535273,40.76835001854616
MoPi - Museum of Pizza,-74.00713999999994,40.71455000000003
Union Square Metronome,-73.97945499999997,40.72748000000007
Hallett Nature Sanctuary,-73.97617995458477,40.76565003989526
Elevated Acre,-74.00975903217204,40.703380001105074
Memorial Baptist Church,-73.95207896547024,40.80239701587817
Main Street Park,-73.990679892707,40.70320004078153
Kelly Temple,-73.93930603467827,40.809129989151444
Lucille Lortel Theatre,-74.00570999999997,40.73326000000003
Tweed Courthouse,-73.99810999999994,40.75095500000003
Robert F. Kennedy Bridge,-73.92327487097941,40.77521382089873
Salmagundi Museum of American Art,-73.99462802055973,40.73431999456804
Pulitzer Fountain,-74.0155399469731,40.640060045123136
Manhattan Waterfront Greenway,-74.01539804135236,40.71220400776352
Father Duffy statue,-73.9849921419383,40.75863840827334
Bartman Statue,-73.98150504556102,40.75849325640365
Artists & Fleas,-73.99960796069335,40.72187001850543
St. John the Baptist Church,-73.99275600630453,40.74928998982034
Kirk Theatre,-73.99333100486236,40.75854998117245
75 1/2 Bedford Street,-74.00492664018957,40.73139521645359
Sara D Roosevelt Park,-73.9945899248098,40.715725035739936
